Address Rule Id,Residentials Addresses Linked,Num From,Num To,RangeType,Street Name,Zip5,City,TownCode,Ward,District,CongressionalDistrictCode,AssemblyDistrictCode,SenateDistrictCode,LegislativeDistrictCode,VillageCode,SchoolCode,FireCode,CityCouncilCode,TownWardCode
1572,51,1200,1406,EVEN,BUTTERNUT ST,13208,SYRACUSE,,004,002,022,129,048,007,,,,001,
1573,40,1301,1345,ODD,BUTTERNUT ST,13208,SYRACUSE,,003,006,022,129,048,009,,,,001,
1574,41,1405,1843,ODD,BUTTERNUT ST,13208,SYRACUSE,,003,003,022,129,048,009,,,,001,
1575,28,1510,1838,EVEN,BUTTERNUT ST,13208,SYRACUSE,,003,005,022,129,048,007,,,,001,
3660,18,100,117,ALL,BYRNE PL,13205,SYRACUSE,,014,006,022,129,048,015,,,,004,
1576,30,115,420,ALL,CADILLAC ST,13208,SYRACUSE,,001,005,022,129,048,009,,,,001,
1577,27,502,906,ALL,CADILLAC ST,13208,SYRACUSE,,001,001,022,129,048,009,,,,001,
4836,1,8,8,EVEN,CADWELL PL,13204,SYRACUSE,,011,001,022,128,048,008,,,,002,
4837,6,106,208,EVEN,CADWELL ST,13204,SYRACUSE,,011,008,022,129,048,008,,,,002,
4838,5,201,205,ODD,CADWELL ST,13204,SYRACUSE,,008,003,022,128,048,008,,,,002,
4839,10,309,329,ALL,CADWELL ST,13204,SYRACUSE,,011,001,022,128,048,008,,,,002,
2497,7,201,515,ALL,CALEB AVE,13206,SYRACUSE,,005,005,022,129,048,007,,,,005,
2498,15,610,912,EVEN,CALEB AVE,13206,SYRACUSE,,005,002,022,129,048,009,,,,005,
2499,6,613,725,ODD,CALEB AVE,13206,SYRACUSE,,005,005,022,129,048,007,,,,005,
2500,2,801,801,ODD,CALEB AVE,13206,SYRACUSE,,005,010,022,129,048,007,,,,005,
2501,17,913,1129,ALL,CALEB AVE,13206,SYRACUSE,,005,010,022,129,048,007,,,,005,
2502,2,1200,1300,EVEN,CALEB AVE,13206,SYRACUSE,,005,002,022,129,048,009,,,,005,
2503,2,1219,1301,ODD,CALEB AVE,13206,SYRACUSE,,005,010,022,129,048,007,,,,005,
2504,4,1400,1425,ALL,CALEB AVE,13206,SYRACUSE,,005,011,022,129,048,007,,,,005,
2505,42,1500,1972,EVEN,CALEB AVE,13206,SYRACUSE,,005,002,022,129,048,009,,,,005,
2506,19,1701,1951,ODD,CALEB AVE,13206,SYRACUSE,,005,011,022,129,048,007,,,,005,
9174,2,909,909,ALL,CALEB AVE,13206,SYRACUSE,,005,010,022,129,048,007,,,,005,
2763,2,105,106,ALL,CALVIN RD,13207,SYRACUSE,,011,004,022,129,048,008,,,,002,
738,52,123,255,ALL,CAMBRIDGE ST,13210,SYRACUSE,,017,004,022,128,048,017,,,,003,
2764,39,101,231,ALL,CAMP AVE,13207,SYRACUSE,,013,005,022,129,048,015,,,,004,
739,4,790,790,EVEN,CANAL ST,13210,SYRACUSE,,006,007,022,128,048,009,,,,005,
6315,16,101,302,ALL,CANDEE AVE,13224,SYRACUSE,,017,008,022,128,048,017,,,,005,
3661,37,118,516,ALL,CANNON ST,13205,SYRACUSE,,019,002,022,128,048,016,,,,004,
3662,45,609,1158,ALL,CANNON ST,13205,SYRACUSE,,014,001,022,128,048,016,,,,004,
1580,129,107,536,ALL,CARBON ST,13208,SYRACUSE,,003,004,022,129,048,009,,,,001,
1581,46,605,806,ALL,CARBON ST,13208,SYRACUSE,,001,006,022,129,048,009,,,,001,
1582,19,903,1006,ALL,CARBON ST,13208,SYRACUSE,,001,002,022,129,048,009,,,,001,
1583,15,1009,1305,ODD,CARBON ST,13208,SYRACUSE,,001,004,022,129,048,009,,,,001,
1584,26,1010,1216,EVEN,CARBON ST,13208,SYRACUSE,,001,002,022,129,048,009,,,,001,
1585,12,103,117,ALL,CARLISLE ST,13208,SYRACUSE,,001,006,022,129,048,009,,,,001,
7347,20,102,220,ALL,CARLTON DR,13214,SYRACUSE,,017,016,022,128,048,017,,,,003,
7348,7,302,316,EVEN,CARLTON DR,13214,SYRACUSE,,017,017,022,128,048,017,,,,003,
7349,2,305,315,ODD,CARLTON DR,13214,SYRACUSE,,017,016,022,128,048,017,,,,003,
8797,2,212,213,ALL,CARLTON DR,13212,SYRACUSE,,017,016,022,128,048,017,,,,003,
2765,28,98,300,ALL,CARLTON RD,13207,SYRACUSE,,011,004,022,129,048,008,,,,002,
2766,13,301,323,ODD,CARLTON RD,13207,SYRACUSE,,013,003,022,129,048,015,,,,002,
2767,9,302,318,EVEN,CARLTON RD,13207,SYRACUSE,,011,004,022,129,048,008,,,,002,
1586,2,208,208,EVEN,CATAWBA ST,13208,SYRACUSE,,003,001,022,129,048,008,,,,001,
1587,4,207,219,ODD,CATAWBA ST,13208,SYRACUSE,,002,003,022,129,048,008,,,,001,
4623,23,200,319,ALL,CATHERINE ST,13203,SYRACUSE,,006,001,022,129,048,009,,,,001,
4624,103,501,710,ALL,CATHERINE ST,13203,SYRACUSE,,009,002,022,129,048,008,,,,001,
4840,89,108,425,ALL,CAYUGA ST,13204,SYRACUSE,,007,002,022,129,048,008,,,,002,
740,5,520,520,EVEN,CEDAR ST,13210,SYRACUSE,,015,002,022,128,048,016,,,,002,
2768,101,1,21,ALL,CENTENNIAL DR,13207,SYRACUSE,,012,004,022,128,048,015,,,,004,
4841,5,101,106,ALL,CENTRAL AVE,13204,SYRACUSE,,008,003,022,128,048,008,,,,002,
2769,51,117,267,ALL,CHAFFEE AVE,13207,SYRACUSE,,013,007,022,129,048,015,,,,004,
2507,25,107,244,ALL,CHAMPLIN DR,13206,SYRACUSE,,005,010,022,129,048,007,,,,005,
3663,3,110,112,ALL,CHANNING PL,13205,SYRACUSE,,014,006,022,129,048,015,,,,004,
4842,12,102,121,ALL,CHARLOTTE ST,13204,SYRACUSE,,007,001,022,129,048,008,,,,002,
2770,27,100,167,ALL,CHARMOUTH DR,13207,SYRACUSE,,013,001,022,128,048,015,,,,004,
2771,12,600,613,ALL,CHARMOUTH DR,13207,SYRACUSE,,013,003,022,129,048,015,,,,002,
1588,9,100,111,ALL,CHATHAM PL,13208,SYRACUSE,,001,001,022,129,048,009,,,,001,
4625,17,118,170,ALL,CHATHAM RD,13203,SYRACUSE,,004,004,022,129,048,007,,,,005,
4518,22,200,222,ALL,CHAVEZ TER,13202,SYRACUSE,,009,005,022,128,048,016,,,,004,
4843,51,201,425,ALL,CHEMUNG ST,13204,SYRACUSE,,007,001,022,129,048,008,,,,002,
6316,6,100,106,ALL,CHENAULT DR,13224,SYRACUSE,,017,012,022,128,048,015,,,,003,
2772,19,100,134,ALL,CHENEY ST,13207,SYRACUSE,,012,001,022,128,048,015,,,,004,
741,8,203,217,ODD,CHERRY ST,13210,SYRACUSE,,017,006,022,128,048,017,,,,005,
742,17,402,418,ALL,CHERRY ST,13210,SYRACUSE,,017,005,022,128,048,015,,,,003,
743,1,419,419,ODD,CHERRY ST,13210,SYRACUSE,,017,005,022,128,048,015,,,,003,
744,5,421,425,ODD,CHERRY ST,13210,SYRACUSE,,017,005,022,128,048,015,,,,003,
2773,2,136,145,ALL,CHESTER ST,13207,SYRACUSE,,012,002,022,128,048,016,,,,004,
745,53,201,441,ALL,CHINOOK DR,13210,SYRACUSE,,019,003,022,129,048,015,,,,003,
3664,89,116,417,ALL,CHURCHILL AVE,13205,SYRACUSE,,014,002,022,128,048,016,,,,004,
746,26,100,140,ALL,CIRCLE RD,13210,SYRACUSE,,016,002,022,129,048,016,,,,003,
7354,24,100,132,ALL,CLAIRE RD,13214,SYRACUSE,,017,016,022,128,048,017,,,,003,
2774,2,111,139,ODD,CLAIRMONTE AVE,13207,SYRACUSE,,012,003,022,128,048,015,,,,002,
2775,14,120,236,EVEN,CLAIRMONTE AVE,13207,SYRACUSE,,011,006,022,129,048,015,,,,002,
2776,27,312,365,ALL,CLAIRMONTE AVE,13207,SYRACUSE,,012,005,022,129,048,008,,,,002,
3665,37,103,418,ALL,CLARENCE AVE,13205,SYRACUSE,,014,008,022,128,048,016,,,,004,
747,15,106,317,ALL,CLARENDON ST,13210,SYRACUSE,,016,003,022,129,048,017,,,,003,
748,17,401,545,ODD,CLARENDON ST,13210,SYRACUSE,,017,001,022,129,048,017,,,,003,
749,22,502,722,EVEN,CLARENDON ST,13210,SYRACUSE,,016,003,022,129,048,017,,,,003,
750,12,601,715,ODD,CLARENDON ST,13210,SYRACUSE,,017,003,022,128,048,015,,,,003,
751,21,101,205,ALL,CLARKE ST,13210,SYRACUSE,,017,003,022,128,048,015,,,,003,
752,2,206,210,EVEN,CLARKE ST,13210,SYRACUSE,,017,012,022,128,048,015,,,,003,
753,2,207,211,ODD,CLARKE ST,13210,SYRACUSE,,017,003,022,128,048,015,,,,003,
2777,6,100,111,ALL,CLAYTON AVE,13207,SYRACUSE,,013,004,022,129,048,015,,,,002,
1590,4,100,104,EVEN,CLEVELAND AVE,13208,SYRACUSE,,003,006,022,129,048,009,,,,001,
1591,11,101,109,ODD,CLEVELAND AVE,13208,SYRACUSE,,003,004,022,129,048,009,,,,001,
1592,40,203,243,ALL,CLEVELAND AVE,13208,SYRACUSE,,003,006,022,129,048,009,,,,001,
1593,11,302,315,ALL,CLEVELAND AVE,13208,SYRACUSE,,003,003,022,129,048,009,,,,001,
754,22,100,132,ALL,CLIFFSIDE DR,13210,SYRACUSE,,019,008,022,129,048,016,,,,004,
2508,50,118,195,ALL,CLIFTON PL,13206,SYRACUSE,,005,003,022,129,048,007,,,,005,
2509,14,200,215,ALL,CLIFTON PL,13206,SYRACUSE,,005,001,022,129,048,007,,,,005,
2511,14,143,179,ALL,CLOVERIDGE DR,13206,SYRACUSE,,005,009,022,129,048,007,,,,005,
2512,56,200,362,ALL,CLOVERIDGE DR,13206,SYRACUSE,,005,011,022,129,048,007,,,,005,
2513,13,415,447,ALL,CLOVERIDGE DR,13206,SYRACUSE,,005,002,022,129,048,009,,,,005,
2778,40,114,218,ALL,CLYDE AVE,13207,SYRACUSE,,013,001,022,128,048,015,,,,004,
4845,8,111,122,ALL,CODY AVE,13204,SYRACUSE,,008,004,022,129,048,008,,,,002,
4846,2,104,105,ALL,COFFEY DR,13204,SYRACUSE,,008,002,022,129,048,008,,,,002,
2514,34,100,192,ALL,COLBY AVE,13206,SYRACUSE,,004,009,022,129,048,007,,,,005,
3666,1,200,200,EVEN,COLDBROOK DR,13205,SYRACUSE,,014,006,022,129,048,015,,,,004,
3667,4,514,923,ALL,COLDBROOK DR,13205,SYRACUSE,,014,007,022,129,048,015,,,,004,
4847,48,100,296,EVEN,COLERIDGE AVE,13204,SYRACUSE,,008,002,022,129,048,008,,,,002,
4848,19,300,394,EVEN,COLERIDGE AVE,13204,SYRACUSE,,008,004,022,129,048,008,,,,002,
755,2,101,131,ODD,COLLEGE PL,13210,SYRACUSE,,016,001,022,129,048,017,,,,003,
2779,38,100,231,ALL,COLUMBIA AVE,13207,SYRACUSE,,013,003,022,129,048,015,,,,002,
756,36,204,309,ALL,COLUMBUS AVE,13210,SYRACUSE,,017,006,022,128,048,017,,,,005,
757,51,424,558,ALL,COLUMBUS AVE,13210,SYRACUSE,,017,005,022,128,048,015,,,,003,
1594,2,104,104,EVEN,COMMONWEALTH AVE,13208,SYRACUSE,,001,004,022,129,048,009,,,,001,
758,18,101,116,ALL,COMSTOCK AVE,13210,SYRACUSE,,016,006,022,129,048,017,,,,005,
759,419,200,775,ALL,COMSTOCK AVE,13210,SYRACUSE,,016,001,022,129,048,017,,,,003,
760,9,801,821,ODD,COMSTOCK AVE,13210,SYRACUSE,,016,003,022,129,048,017,,,,003,
761,18,901,953,ODD,COMSTOCK AVE,13210,SYRACUSE,,016,002,022,129,048,016,,,,003,
762,45,1200,1541,ALL,COMSTOCK AVE,13210,SYRACUSE,,019,003,022,129,048,015,,,,003,
763,16,113,231,ALL,COMSTOCK PL,13210,SYRACUSE,,016,006,022,129,048,017,,,,005,
3668,13,101,145,ALL,CONAN ST,13205,SYRACUSE,,013,006,022,128,048,016,,,,004,
764,22,100,126,ALL,CONCORD PL,13210,SYRACUSE,,017,003,022,128,048,015,,,,003,
4849,3,107,115,ALL,CONGRESS AVE,13204,SYRACUSE,,010,003,022,128,048,015,,,,002,
3669,18,107,217,ODD,CONIFER DR,13205,SYRACUSE,,014,007,022,129,048,015,,,,004,
2515,14,112,238,ALL,CONKLIN AVE,13206,SYRACUSE,,005,011,022,129,048,007,,,,005,
2516,40,117,192,ALL,COOK AVE,13206,SYRACUSE,,005,003,022,129,048,007,,,,005,
2780,51,210,357,ALL,COOLIDGE AVE,13207,SYRACUSE,,012,001,022,128,048,015,,,,004,
4850,22,115,163,ALL,COOLIDGE AVE,13204,SYRACUSE,,012,001,022,128,048,015,,,,004,
2781,15,114,219,ALL,CORAL AVE,13207,SYRACUSE,,013,008,022,128,048,015,,,,004,
4851,22,2,23,ALL,CORCORAN CT,13204,SYRACUSE,,008,001,022,128,048,016,,,,002,
3670,18,101,141,ALL,CORDOVA ST,13205,SYRACUSE,,014,002,022,128,048,016,,,,004,
2782,12,100,133,ALL,CORNELL AVE,13207,SYRACUSE,,013,004,022,129,048,015,,,,002,
3671,1,391,391,ODD,CORTLAND AVE,13205,SYRACUSE,,018,002,022,128,048,016,,,,004,
3672,47,410,554,ALL,CORTLAND AVE,13205,SYRACUSE,,012,002,022,128,048,016,,,,004,
4519,18,152,366,ALL,CORTLAND AVE,13202,SYRACUSE,,018,001,022,128,048,016,,,,004,
2783,16,113,154,ALL,CORTLAND PL,13207,SYRACUSE,,013,008,022,128,048,015,,,,004,
4852,15,1,16,ALL,COSTELLO CT,13204,SYRACUSE,,008,001,022,128,048,016,,,,002,
2517,22,207,829,ALL,COUGHLIN AVE,13206,SYRACUSE,,004,009,022,129,048,007,,,,005,
